Data,Quipapa_Pluviometria,Sao_Benedito_Sul_Pluviometria,Sao_Benedito_Sul_Fluviometria,Batateira_Fluviometria,Belem_Maria_Pluviometria,Belem_Maria_Fluviometria,Maraial_Pluviometria,Jaqueira_Pluviometria,Laje_Grande_Pluviometria,Catende_Pluviometria,Catende_Fluviometria,Palmares_Pluviometria_1,Palmares_Pluviometria_2,Cota_Atual_Prevista,Previsao_D1,Previsao_D2,Previsao_D3,Previsao_D4,Previsao_D5,Previsao_D6,Cota_Real_Atual,Cota_Real_D1,Cota_Real_D2,Cota_Real_D3,Cota_Real_D4,Cota_Real_D5,Cota_Real_D6
15/06/2024,34.2,45.6,363.0,237.0,75.6,209.0,53.0,48.0,0.0,84.2,377.0,120.0,64.0,472.0,471.58,451.98,451.38,437.72,416.91,412.81,522.0,491.0,398.0,380.0,375.0,386.0,419.0
16/06/2024,0.8,1.6,323.0,245.0,1.8,286.4,1.47,1.34,0.0,2.0,358.0,1.2,0.6,461.92,429.4,408.46,418.55,421.96,415.08,441.21,491.0,398.0,380.0,375.0,386.0,419.0,422.0
17/06/2024,2.0,3.6,288.0,224.0,2.16,248.8,1.77,1.61,0.0,2.4,311.0,0.4,0.2,398.21,394.29,414.26,425.56,423.76,403.28,398.43,398.0,380.0,375.0,386.0,419.0,422.0,412.0
18/06/2024,3.96,7.2,283.0,219.0,1.8,241.6,0.0,1.34,0.0,2.0,302.0,0.0,0.0,387.47,389.56,400.24,421.85,418.93,395.01,404.54,380.0,375.0,386.0,419.0,422.0,412.0,401.0
19/06/2024,2.86,5.2,278.0,217.0,11.52,240.0,0.0,8.58,0.0,12.8,300.0,5.6,2.8,382.69,386.91,406.04,422.97,397.0,386.77,390.14,375.0,386.0,419.0,422.0,412.0,401.0,387.0
20/06/2024,8.36,15.2,298.0,218.0,25.38,249.6,0.0,18.89,0.0,28.2,312.0,18.0,9.0,404.0,416.74,413.9,422.6,399.36,385.83,387.39,386.0,419.0,422.0,412.0,401.0,387.0,380.0
21/06/2024,6.05,11.0,302.0,225.0,21.78,259.2,0.0,16.21,0.0,24.2,324.0,22.0,11.0,422.2,426.24,416.57,422.66,400.52,393.23,385.22,419.0,422.0,412.0,401.0,387.0,380.0,370.0
22/06/2024,4.15,8.2,306.0,232.0,8.64,261.6,0.0,6.43,0.0,9.6,327.0,12.4,6.2,428.78,412.4,420.55,419.34,408.76,394.23,392.53,422.0,412.0,401.0,387.0,380.0,370.0,364.0
23/06/2024,1.98,3.6,306.0,231.0,5.94,258.4,0.0,4.42,0.0,6.6,323.0,14.0,7.0,423.93,403.0,412.54,415.14,400.75,401.61,384.15,412.0,401.0,387.0,380.0,370.0,364.0,358.0
24/06/2024,0.11,0.2,292.0,228.0,0.36,250.4,0.0,0.27,0.0,0.4,313.0,0.0,0.0,404.04,395.46,409.61,426.15,416.45,397.24,384.19,401.0,387.0,380.0,370.0,364.0,358.0,354.0
